Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-08-31,33.1,20.7,58.6,0,0
Alcúdia,2026-08-31,31.5,20.9,78.3,14.8,0
Algaida,2026-08-31,32.7,21.7,73.7,25.6,0
Andratx,2026-08-31,32.9,22.9,69.7,13.7,0
Ariany,2026-08-31,NaN,NaN,NaN,NaN,NaN
Artà,2026-08-31,,,,18.7,0
Banyalbufar,2026-08-31,30.3,20.9,83.3,9.3,0
Binissalem,2026-08-31,34.8,18.3,74.9,15.4,0
Búger,2026-08-31,32.6,18.6,76.2,20.4,0
Bunyola,2026-08-31,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-08-31,NaN,NaN,NaN,NaN,NaN
Calvià,2026-08-31,NaN,NaN,NaN,NaN,NaN
Campanet,2026-08-31,NaN,NaN,NaN,NaN,NaN
Campos,2026-08-31,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-08-31,31.1,22.8,78,16.9,0
Consell,2026-08-31,33.7,18.3,74.2,19.5,0
Costitx,2026-08-31,36.2,19.9,80.1,9.7,0
Deià,2026-08-31,32.4,22.4,69.3,12.2,0
Escorca,2026-08-31,29.3,11.3,71.2,14.8,0
Esporles,2026-08-31,32.9,19.6,80,16.9,0
Estellencs,2026-08-31,31.7,22.5,69.8,13.7,0
Felanitx,2026-08-31,33,21.9,75.2,20.8,0
Fornalutx,2026-08-31,32.6,20.8,66.8,18.7,0
Inca,2026-08-31,35.7,22.4,70.2,16.9,0
Lloret de Vistalegre,2026-08-31,33.3,20,79.5,5.5,0
Lloseta,2026-08-31,33.5,20.6,72.9,34.6,0
Llubí,2026-08-31,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-08-31,,,,0.4,0
Manacor,2026-08-31,33.9,20.4,74.7,16.9,0
Mancor,2026-08-31,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-08-31,31.7,21.3,80.7,19.4,0
Marratxí,2026-08-31,35.1,22.2,72.6,21.1,0
Montuïri,2026-08-31,34.7,18.3,81.9,14.8,0
Muro,2026-08-31,NaN,NaN,NaN,NaN,NaN
Palma,2026-08-31,32.5,23.2,74.9,15.5,0
Petra,2026-08-31,35,19.7,70.7,14.3,0
Pollença,2026-08-31,28.9,22.2,59.9,20.9,0
Porreres,2026-08-31,34.8,21.1,70.6,16.6,0
Sa Pobla,2026-08-31,31.7,20.9,74.2,8.2,0
Puigpunyent,2026-08-31,32.3,21.5,75.7,15.4,0
Ses Salines,2026-08-31,33.1,21.3,73.7,3.2,0
Sant Joan,2026-08-31,32.6,21.8,50.8,15,0
Sant Llorenç des Cardassar,2026-08-31,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-08-31,35.2,20.2,76.5,14.8,0
Santa Eugènia,2026-08-31,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-08-31,31.5,22,77.2,17.6,0
Santa María del Camí,2026-08-31,33,19.7,69.2,21.6,0
Santanyí,2026-08-31,NaN,NaN,NaN,NaN,NaN
Selva,2026-08-31,33.6,20.6,67.5,10,0
Sineu,2026-08-31,NaN,NaN,NaN,NaN,NaN
Sóller,2026-08-31,31.5,21.1,71.8,22,0
Son Servera,2026-08-31,31.6,22.5,74,16.2,0
Valldemossa,2026-08-31,30.7,20.7,78.4,18.4,0
Vilafranca de Bonany,2026-08-31,32.8,21,75.6,20.5,0
