Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-06-02,31,20.7,54,23,0,0
Alcúdia,2025-06-02,28.6,19.2,84,45,16.2,0
Algaida,2025-06-02,30.4,18.6,94,29,33.1,0
Andratx,2025-06-02,33.7,22.1,50,25,27.7,0
Ariany,2025-06-02,-,-,-,-,-,-
Artà,2025-06-02,28.9,14.3,94,47,29.6,0
Banyalbufar,2025-06-02,31.2,19.6,80,27,15.4,0
Binissalem,2025-06-02,31.8,17.7,86,33,19.2,0
Búger,2025-06-02,30.9,16.7,90,39,23.7,0
Bunyola,2025-06-02,33.1,19.4,48,20,29.9,0
Calvià,2025-06-02,31,22.2,44,27,28.3,0
Campanet,2025-06-02,-,-,-,-,-,-
Campos,2025-06-02,-,-,-,-,-,-
Capdepera,2025-06-02,27.6,20.3,87,54,10.5,0
Consell,2025-06-02,17.2,17.2,51,51,3.9,0
Costitx,2025-06-02,33.5,19.3,97,27,15.4,0
Deià,2025-06-02,31.3,21,65,29,25.9,0
Escorca,2025-06-02,26.2,12.3,73,27,23.8,0
Esporles,2025-06-02,32,17.1,68,29,26.2,16
Estellencs,2025-06-02,-,-,-,-,-,-
Felanitx,2025-06-02,26.9,18.7,80,40,42.6,0
Fornalutx,2025-06-02,30.5,20,57,22,25.6,0
Inca,2025-06-02,33.6,21.7,85,31,8.2,0
Lloret,2025-06-02,31.1,18.3,95,32,9,0
Lloseta,2025-06-02,30.7,20,87,31,36.7,0
Llubí,2025-06-02,31.3,18.4,89,38,16.2,0
Llucmajor,2025-06-02,31,20.8,88,31,31,0
Manacor,2025-06-02,30.4,17.2,92,41,16.2,0
Mancor,2025-06-02,-,-,-,-,-,-
Maria,2025-06-02,31.3,19.8,97,28,29.5,0
Marratxí,2025-06-02,33.1,21.1,83,29,26.9,0
Montuïri,2025-06-02,30.5,14,99,38,25.6,0
Muro,2025-06-02,28.8,19.7,96,51,0,0
Palma,2025-06-02,33,21.7,77,27,28.8,0
Petra,2025-06-02,32.1,16.7,88,28,15.4,0
Pollença,2025-06-02,26.8,20.4,69,26,31.5,0
Porreres,2025-06-02,32,18.9,80,28,19.8,0
Sa Pobla,2025-06-02,31.4,19.5,87,38,14.3,0
Puigpunyent,2025-06-02,31.9,16.1,67,29,24.1,0
Ses   Salines,2025-06-02,28.9,19.2,87,49,37,0
Sant   Joan,2025-06-02,29.4,20,70,35,22,0
Sant   Llorenç,2025-06-02,30.8,17.2,85,36,1.8,0
Sencelles,2025-06-02,31.2,19.1,87,39,40.7,0
Santa   Eugènia,2025-06-02,35.8,15.6,88,27,11.9,0
Santa   Margalida,2025-06-02,29.6,19.7,90,44,27,0
Santa   Maria,2025-06-02,-,-,-,-,-,-
Santanyi,2025-06-02,28.2,20.6,93,57,20.6,0
Selva,2025-06-02,-,-,-,-,-,-
Sineu,2025-06-02,32.4,16.9,99,44,13.4,0
Sóller,2025-06-02,32.4,19.4,67,19,55.5,0
Son   Servera,2025-06-02,27.3,20.2,84,47,24.5,0
Valldemossa,2025-06-02,29.4,20.1,48,24,50.1,0
Villafranca,2025-06-02,,,,,34.6,0
