Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-07-10,38.4,23.9,29.2,0,0
Alcúdia,2026-07-10,35.4,22.8,62.6,13.3,0
Algaida,2026-07-10,38.9,23.1,41.7,24.8,0
Andratx,2026-07-10,37.1,24.2,44.5,21.2,0
Ariany,2026-07-10,NaN,NaN,NaN,NaN,NaN
Artà,2026-07-10,35.7,20.7,60.6,18.7,0
Banyalbufar,2026-07-10,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-07-10,41.1,19.7,46.7,11.9,0
Búger,2026-07-10,38.8,19.9,51.9,25.4,0
Bunyola,2026-07-10,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-07-10,NaN,NaN,NaN,NaN,NaN
Calvià,2026-07-10,NaN,NaN,NaN,NaN,NaN
Campanet,2026-07-10,NaN,NaN,NaN,NaN,NaN
Campos,2026-07-10,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-07-10,32.8,24.8,65.3,18,0
Consell,2026-07-10,39.2,20.8,50,19.5,0
Costitx,2026-07-10,41.6,21.7,54.2,9.7,0
Deià,2026-07-10,35.4,25.7,45.3,15.8,0
Escorca,2026-07-10,34.3,15.3,38.6,15.5,0
Esporles,2026-07-10,37.7,21.3,47.7,20.6,0
Estellencs,2026-07-10,34.7,22.8,50.9,11.9,0
Felanitx,2026-07-10,37,24.3,49.2,21.6,0
Fornalutx,2026-07-10,37,24.6,34.4,13,0
Inca,2026-07-10,40.1,24.8,44.4,14.3,0
Lloret de Vistalegre,2026-07-10,37.9,21.9,56.4,6.1,0
Lloseta,2026-07-10,38.6,22.3,41.8,31.3,0
Llubí,2026-07-10,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-07-10,,,,20.5,0
Manacor,2026-07-10,35.7,22.2,64.3,19.8,0
Mancor,2026-07-10,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-07-10,36.3,23.5,55.6,23.4,0
Marratxí,2026-07-10,39.9,23.7,55.7,18.7,0
Montuïri,2026-07-10,38,17.9,57,25.9,0
Muro,2026-07-10,NaN,NaN,NaN,NaN,NaN
Palma,2026-07-10,37.3,25.2,61.5,10.4,0
Petra,2026-07-10,38.3,21.2,52.7,14.3,0
Pollença,2026-07-10,33.5,23.9,41.3,19.3,0
Porreres,2026-07-10,38.3,22.4,45.8,19.4,0
Sa Pobla,2026-07-10,37.3,22.5,52.6,10.8,0
Puigpunyent,2026-07-10,36.2,25,30.9,17.9,0
Ses Salines,2026-07-10,35.5,21.1,61.2,9,0
Sant Joan,2026-07-10,36,23,49.5,15.9,0
Sant Llorenç des Cardassar,2026-07-10,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-07-10,40.3,22.3,54.7,15.1,0
Santa Eugènia,2026-07-10,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-07-10,38.6,24.3,54.1,18.7,0
Santa María del Camí,2026-07-10,37.1,21.4,45.8,25.6,0
Santanyí,2026-07-10,,,,9.3,0
Selva,2026-07-10,38.1,24.6,34.2,10,0
Sineu,2026-07-10,NaN,NaN,NaN,NaN,NaN
Sóller,2026-07-10,35.8,22.7,51.4,22,0
Son Servera,2026-07-10,32.1,24.7,60.9,15.5,0
Valldemossa,2026-07-10,36.5,24.3,35,15.5,0
Vilafranca de Bonany,2026-07-10,35.9,22.4,53.5,19.8,0
