Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-02-01,15.9,9,59.3,0,0
Alcúdia,2026-02-01,17.9,9.1,64.6,43.2,0
Algaida,2026-02-01,14.8,9.3,73.3,38.9,0
Andratx,2026-02-01,14.2,9.7,81.6,10.8,0
Ariany,2026-02-01,NaN,NaN,NaN,NaN,NaN
Artà,2026-02-01,17.1,8.9,72,38.1,0
Banyalbufar,2026-02-01,,,,11.9,0
Binissalem,2026-02-01,17.1,6.6,72.5,18.3,0
Búger,2026-02-01,17.6,9.7,67.2,18.7,0
Bunyola,2026-02-01,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-02-01,NaN,NaN,NaN,NaN,NaN
Calvià,2026-02-01,18,8.6,72.7,32,0
Campanet,2026-02-01,NaN,NaN,NaN,NaN,NaN
Campos,2026-02-01,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-02-01,17.3,11,66.2,26.2,0
Consell,2026-02-01,16.5,6.8,74.3,48.9,0
Costitx,2026-02-01,16,8.1,79,19.5,0
Deià,2026-02-01,16.1,9.8,68.6,18.7,0
Escorca,2026-02-01,8.6,5.2,84,34.6,0
Esporles,2026-02-01,16.2,7.2,80.2,35.6,0
Estellencs,2026-02-01,16.6,9.1,72.6,14.8,0
Felanitx,2026-02-01,16.1,9.8,73.8,19.3,0
Fornalutx,2026-02-01,14.3,7.8,80.4,15.8,0
Inca,2026-02-01,19,10.1,68.5,24.5,0
Lloret de Vistalegre,2026-02-01,16.6,9.6,76.6,6.9,0
Lloseta,2026-02-01,16.1,9.2,68.3,66.6,0
Llubí,2026-02-01,17.5,9.4,66.9,26.3,0
Llucmajor,2026-02-01,14.9,8.8,79.4,31.3,0
Manacor,2026-02-01,16.8,7.8,72.1,17.3,0
Mancor,2026-02-01,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-02-01,16.9,9.4,73.9,20.5,0
Marratxí,2026-02-01,16.7,9.7,71.8,30.1,0
Montuïri,2026-02-01,15.6,8.2,79.7,28.8,0
Muro,2026-02-01,NaN,NaN,NaN,NaN,NaN
Palma,2026-02-01,17,10.6,72.2,36,0
Petra,2026-02-01,17,9.1,70,15,7.11
Pollença,2026-02-01,14.7,7.9,49.1,24.1,0
Porreres,2026-02-01,16.2,9.9,70.3,19.4,0
Sa Pobla,2026-02-01,18.6,9.9,66.7,23.3,0
Puigpunyent,2026-02-01,14.8,8,77.8,23.7,0
Ses Salines,2026-02-01,15.8,8.4,76.1,11.5,0
Sant Joan,2026-02-01,15.7,9.9,66.5,20.8,0
Sant Llorenç des Cardassar,2026-02-01,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-02-01,16.3,8.9,72.9,18.7,0
Santa Eugènia,2026-02-01,17.2,6.9,74.1,27.7,0
Santa Margalida,2026-02-01,17.4,9.8,67.6,18,0
Santa María del Camí,2026-02-01,15.8,7.2,70.5,37.8,0
Santanyí,2026-02-01,16,8.5,80.9,6.9,0
Selva,2026-02-01,17,8.8,64.9,23.7,3.56
Sineu,2026-02-01,17.4,10.3,73.4,16.6,0
Sóller,2026-02-01,16.3,9,73.7,19.4,0
Son Servera,2026-02-01,17.6,9.9,62.6,20.2,0
Valldemossa,2026-02-01,13.1,8.4,78.9,16.6,0
Vilafranca de Bonany,2026-02-01,16.1,9.2,73.8,18.7,0
