Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-04-15,21.6,9.4,53.9,0,0
Alcúdia,2026-04-15,21.9,8.7,68.3,25.6,0
Algaida,2026-04-15,19.8,9,63.8,23,0
Andratx,2026-04-15,21.8,9.8,63.6,12.2,0
Ariany,2026-04-15,NaN,NaN,NaN,NaN,NaN
Artà,2026-04-15,20.9,8.3,71.7,24.8,0
Banyalbufar,2026-04-15,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-04-15,24,6.6,66.2,11.6,0
Búger,2026-04-15,24.5,7.1,62.9,28,0
Bunyola,2026-04-15,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-04-15,NaN,NaN,NaN,NaN,NaN
Calvià,2026-04-15,NaN,NaN,NaN,NaN,NaN
Campanet,2026-04-15,NaN,NaN,NaN,NaN,NaN
Campos,2026-04-15,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-04-15,18.9,12.9,63.8,19.8,0
Consell,2026-04-15,22.4,6.5,67.6,23.8,0
Costitx,2026-04-15,21.9,7.9,73.2,12.2,0
Deià,2026-04-15,21,10.9,57.5,12.2,0
Escorca,2026-04-15,15.6,2.4,66.3,11.2,0
Esporles,2026-04-15,20.3,8.1,72.6,21.9,0
Estellencs,2026-04-15,20.6,9.9,68.1,11.2,0
Felanitx,2026-04-15,22.2,10.2,63.1,19,0
Fornalutx,2026-04-15,19.4,9.3,61.5,20.6,0.2
Inca,2026-04-15,23.3,9.7,59.8,13.7,7.39
Lloret de Vistalegre,2026-04-15,21.2,7.7,69.4,8.7,0
Lloseta,2026-04-15,21.7,7.4,61.4,38.9,0
Llubí,2026-04-15,22.7,7.1,64.2,14.4,0
Llucmajor,2026-04-15,,,,22,0
Manacor,2026-04-15,23,7.5,77.7,16.2,0
Mancor,2026-04-15,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-04-15,22.2,11.3,53.1,18.7,0
Marratxí,2026-04-15,22.1,9.9,62.2,22.2,0
Montuïri,2026-04-15,21.3,4.5,75,30.9,0
Muro,2026-04-15,NaN,NaN,NaN,NaN,NaN
Palma,2026-04-15,21.6,11.5,65.5,10.4,0
Petra,2026-04-15,23.3,8.6,64.4,20.1,0
Pollença,2026-04-15,20.4,10.7,41.4,22.5,0
Porreres,2026-04-15,21.3,9.4,60.8,15.8,0
Sa Pobla,2026-04-15,24.1,8.2,63,18,0
Puigpunyent,2026-04-15,20.4,10.4,54.1,15.4,0
Ses Salines,2026-04-15,21.3,7.5,73.9,10.4,0
Sant Joan,2026-04-15,20.6,9.7,56.7,16.3,0
Sant Llorenç des Cardassar,2026-04-15,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-04-15,22.2,8,68.2,18.3,0
Santa Eugènia,2026-04-15,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-04-15,23.2,13.3,50.7,16.6,0
Santa María del Camí,2026-04-15,21.4,7.6,61.4,25.9,0
Santanyí,2026-04-15,,,,3.5,0
Selva,2026-04-15,24.6,9.5,50.7,15.4,0.76
Sineu,2026-04-15,NaN,NaN,NaN,NaN,NaN
Sóller,2026-04-15,20.2,9,65.7,28.1,0
Son Servera,2026-04-15,22.3,11.3,62.3,20.5,0
Valldemossa,2026-04-15,18.2,9.1,61.3,9.7,0
Vilafranca de Bonany,2026-04-15,21.9,9.6,63.9,22.7,0
