Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-06-13,30.4,18.1,42.1,0,0
Alcúdia,2026-06-13,28.8,16.6,62.4,15.5,0
Algaida,2026-06-13,30.8,18.2,55,25.6,0
Andratx,2026-06-13,32.4,21.5,45.7,15.5,0
Ariany,2026-06-13,NaN,NaN,NaN,NaN,NaN
Artà,2026-06-13,30.5,18.2,58.5,19.5,0
Banyalbufar,2026-06-13,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-06-13,30.9,14.6,54.5,18.7,0
Búger,2026-06-13,30.2,14.7,57.2,21.6,0
Bunyola,2026-06-13,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-06-13,NaN,NaN,NaN,NaN,NaN
Calvià,2026-06-13,NaN,NaN,NaN,NaN,NaN
Campanet,2026-06-13,NaN,NaN,NaN,NaN,NaN
Campos,2026-06-13,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-06-13,29,20.1,58.5,19.2,0
Consell,2026-06-13,31.3,14,58.2,23,0
Costitx,2026-06-13,33.3,15.6,60,11.9,0
Deià,2026-06-13,31.1,19.9,49.2,11.2,0
Escorca,2026-06-13,27.5,14.3,49.4,13,0
Esporles,2026-06-13,31.7,18.3,56.5,18.7,0
Estellencs,2026-06-13,28.4,17.8,54.6,13.3,0
Felanitx,2026-06-13,30.8,17.9,51.6,28,0
Fornalutx,2026-06-13,31.4,18.2,49,0,0
Inca,2026-06-13,33.9,18.5,50.6,11.6,0
Lloret de Vistalegre,2026-06-13,30.6,15.6,60.3,12.2,0
Lloseta,2026-06-13,30.3,16,51.7,29.5,0.2
Llubí,2026-06-13,32.2,15.4,53.2,16.2,0
Llucmajor,2026-06-13,,,,20.5,0
Manacor,2026-06-13,33,15.4,57.5,17.3,0
Mancor,2026-06-13,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-06-13,29.5,17.7,57.1,23.4,0
Marratxí,2026-06-13,32.1,18.8,57.8,26.6,0
Montuïri,2026-06-13,31.1,13.3,62.6,28.5,0
Muro,2026-06-13,NaN,NaN,NaN,NaN,NaN
Palma,2026-06-13,31.2,20.1,62,19.8,0
Petra,2026-06-13,33.3,15.4,54.6,20.1,0
Pollença,2026-06-13,27.6,20.7,35.4,19.3,0
Porreres,2026-06-13,NaN,NaN,NaN,NaN,NaN
Sa Pobla,2026-06-13,29.4,16.7,57.7,13,0
Puigpunyent,2026-06-13,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-06-13,32.2,15.1,61.1,10.8,0
Sant Joan,2026-06-13,30.2,17.4,54.6,22,0
Sant Llorenç des Cardassar,2026-06-13,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-06-13,32.6,15.9,59.9,20.1,0
Santa Eugènia,2026-06-13,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-06-13,31,17.1,57.4,22.7,0
Santa María del Camí,2026-06-13,31,15.8,55.5,28.8,0
Santanyí,2026-06-13,,,,9.3,0
Selva,2026-06-13,NaN,NaN,NaN,NaN,NaN
Sineu,2026-06-13,NaN,NaN,NaN,NaN,NaN
Sóller,2026-06-13,32.3,16.7,57.1,23,0
Son Servera,2026-06-13,30.5,18.7,50.8,21.2,0
Valldemossa,2026-06-13,29.6,18.4,49,7.9,0
Vilafranca de Bonany,2026-06-13,31.1,16.8,55.6,23.8,0
