Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-07-02,32,22.2,50.4,0,0
Alcúdia,2026-07-02,31.2,22.7,61.8,29.5,0
Algaida,2026-07-02,30.7,22.1,61,30.6,0
Andratx,2026-07-02,30.5,23.1,61.9,16.2,0
Ariany,2026-07-02,NaN,NaN,NaN,NaN,NaN
Artà,2026-07-02,30,20.9,67.2,30.9,0
Banyalbufar,2026-07-02,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-07-02,34.1,19.4,59,19.5,0
Búger,2026-07-02,34.9,20.2,58.3,15.8,0
Bunyola,2026-07-02,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-07-02,NaN,NaN,NaN,NaN,NaN
Calvià,2026-07-02,NaN,NaN,NaN,NaN,NaN
Campanet,2026-07-02,NaN,NaN,NaN,NaN,NaN
Campos,2026-07-02,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-07-02,29.1,23.6,63.9,21.9,0
Consell,2026-07-02,32.3,20.1,59.4,23.3,0
Costitx,2026-07-02,34.3,21.3,62.2,14,0
Deià,2026-07-02,31.1,23.7,57.2,11.5,0
Escorca,2026-07-02,25.8,15.5,72.3,15.8,0
Esporles,2026-07-02,28.7,20.6,79.8,21.2,0.51
Estellencs,2026-07-02,29.7,22.8,62.3,11.9,0
Felanitx,2026-07-02,31.8,22.3,63.7,21.6,0
Fornalutx,2026-07-02,29.4,22.2,61.4,13.7,0
Inca,2026-07-02,36.1,23.7,53.9,19.5,0
Lloret de Vistalegre,2026-07-02,33.5,20.5,68.2,4.3,0
Lloseta,2026-07-02,32.7,22,54.5,35.3,0.1
Llubí,2026-07-02,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-07-02,,,,25.9,0
Manacor,2026-07-02,31.6,21.3,63.9,16.9,0
Mancor,2026-07-02,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-07-02,31.5,21.5,65.7,32.8,0
Marratxí,2026-07-02,32.9,22.6,57,21.9,0
Montuïri,2026-07-02,31.9,18.8,71.8,28.8,0
Muro,2026-07-02,NaN,NaN,NaN,NaN,NaN
Palma,2026-07-02,32,24.6,61.6,23.8,0
Petra,2026-07-02,32.9,20.9,62.5,22.5,0
Pollença,2026-07-02,29.3,23.1,47.9,22.5,0
Porreres,2026-07-02,NaN,NaN,NaN,NaN,NaN
Sa Pobla,2026-07-02,33.5,22.8,58,11.1,0
Puigpunyent,2026-07-02,30.4,22.1,62.5,14.6,0
Ses Salines,2026-07-02,32.9,21.3,65.4,7.2,0
Sant Joan,2026-07-02,30.2,22,59.4,17.9,0
Sant Llorenç des Cardassar,2026-07-02,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-07-02,34.6,22.1,59.1,18.7,0
Santa Eugènia,2026-07-02,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-07-02,31.5,22.8,63.4,26.3,0
Santa María del Camí,2026-07-02,31.7,20.5,56.5,28.8,0
Santanyí,2026-07-02,,,,15.4,0
Selva,2026-07-02,32.5,22,51.6,12.2,0
Sineu,2026-07-02,NaN,NaN,NaN,NaN,NaN
Sóller,2026-07-02,29.8,22.9,64.1,23,0
Son Servera,2026-07-02,31.3,23.2,59.5,27,0
Valldemossa,2026-07-02,28.2,21.5,66.9,10.1,0
Vilafranca de Bonany,2026-07-02,31.5,22.3,67.8,25.9,0
