Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-05-13,24.1,12.2,87,47,0,6.86
Alcúdia,2025-05-13,23.4,13.1,96,61,18.7,0.3
Algaida,2025-05-13,22.7,13,97,48,19.4,4.29
Andratx,2025-05-13,25.1,14.5,87,47,13,0
Ariany,2025-05-13,-,-,-,-,-,-
Artà,2025-05-13,24,10.6,100,68,22.5,0
Banyalbufar,2025-05-13,22.6,13.6,94,54,7.9,1.5
Binissalem,2025-05-13,26.7,10.9,97,39,13.7,11.94
Búger,2025-05-13,26.7,10.8,94,38,15.8,3.81
Bunyola,2025-05-13,26.4,11.3,96,38,14.3,0
Calvià,2025-05-13,24.3,13.4,90,31,16.4,0
Campanet,2025-05-13,-,-,-,-,-,-
Campos,2025-05-13,-,-,-,-,-,-
Capdepera,2025-05-13,21.6,15.1,96,76,18,0
Consell,2025-05-13,-,-,-,-,-,-
Costitx,2025-05-13,26.3,12.7,99,38,14.3,20.09
Deià,2025-05-13,22,15,83,43,16.2,0
Escorca,2025-05-13,19.5,5,95,51,12.6,2.49
Esporles,2025-05-13,25.6,11.9,96,46,19.8,1.78
Estellencs,2025-05-13,22.5,13.3,85,61,18.5,0
Felanitx,2025-05-13,22.6,12.9,93,54,29.6,0.2
Fornalutx,2025-05-13,22.4,12.8,94,39,16.3,14.81
Inca,2025-05-13,26.2,13.4,92,37,18.7,2.11
Lloret,2025-05-13,25.2,11.7,99,40,5,0.51
Lloseta,2025-05-13,25.3,12,97,37,29.5,3.4
Llubí,2025-05-13,26.7,12,99,33,9.4,3.3
Llucmajor,2025-05-13,23.8,13.6,97,52,17.3,0
Manacor,2025-05-13,22.4,11.6,99,68,16.9,0.2
Mancor,2025-05-13,-,-,-,-,-,-
Maria,2025-05-13,23.7,11.7,99,40,22,0.2
Marratxí,2025-05-13,25.3,14.5,95,45,16.4,0
Montuïri,2025-05-13,24.1,10.1,99,40,11.6,0.3
Muro,2025-05-13,24.9,13.3,99,43,0,0.99
Palma,2025-05-13,24,15.5,89,68,13.7,0
Petra,2025-05-13,24.8,11.3,98,44,14,34.29
Pollença,2025-05-13,22,12.6,71,34,22.5,0
Porreres,2025-05-13,25.6,13.4,97,39,18.7,0
Sa Pobla,2025-05-13,28.2,12.9,93,34,11.7,0.25
Puigpunyent,2025-05-13,25.2,10.8,89,40,0,0
Ses   Salines,2025-05-13,21.7,13.8,95,73,25.9,0
Sant   Joan,2025-05-13,23.3,12.9,71,10,13.5,6.35
Sant   Llorenç,2025-05-13,24.2,11.7,99,67,6,0
Sencelles,2025-05-13,24.1,11.8,96,43,37,11.2
Santa   Eugènia,2025-05-13,27.2,10.8,99,44,9.8,4.83
Santa   Margalida,2025-05-13,24.9,12.5,98,45,13.7,0.51
Santa   Maria,2025-05-13,-,-,-,-,-,-
Santanyi,2025-05-13,24.4,14,99,67,1.4,0
Selva,2025-05-13,-,-,-,-,-,-
Sineu,2025-05-13,26.2,12.6,99,43,11.6,2.11
Sóller,2025-05-13,24.1,12.6,95,39,25.9,16.79
Son   Servera,2025-05-13,21.8,14.4,94,73,13.7,0.25
Valldemossa,2025-05-13,21.7,11.9,88,46,22.5,0
Villafranca,2025-05-13,,,,,17.2,0.3
