Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-07-15,33.6,22.4,69,35,0,0
Alcúdia,2025-07-15,31.5,23.5,88,60,15.1,0
Algaida,2025-07-15,34.7,22.4,89,40,19.8,0
Andratx,2025-07-15,34.7,24.4,76,36,19.4,0
Ariany,2025-07-15,-,-,-,-,-,-
Artà,2025-07-15,32.7,20,96,53,22.5,0
Banyalbufar,2025-07-15,31,23.4,93,64,7.9,0
Binissalem,2025-07-15,34.3,19.6,85,36,18,0
Búger,2025-07-15,32.9,20,89,38,24.5,0
Bunyola,2025-07-15,36.6,21.9,75,33,21.2,0
Calvià,2025-07-15,33.5,23.2,76,33,18.7,0
Campanet,2025-07-15,-,-,-,-,-,-
Campos,2025-07-15,35.7,24.4,86,40,40.7,0
Capdepera,2025-07-15,31.7,23.5,91,51,10.5,0
Consell,2025-07-15,-,-,-,-,-,-
Costitx,2025-07-15,35,21.6,95,44,11.9,0
Deià,2025-07-15,32,23.4,85,50,13,0
Escorca,2025-07-15,30.7,13.6,84,35,13.3,0
Esporles,2025-07-15,31.4,22.4,94,56,16.6,0.51
Estellencs,2025-07-15,-,-,-,-,-,-
Felanitx,2025-07-15,30.8,22.6,89,43,35.4,0
Fornalutx,2025-07-15,32.9,22,88,43,15.4,0
Inca,2025-07-15,35.9,23.6,81,38,12.2,0
Lloret,2025-07-15,32.9,20.9,92,51,5.8,0
Lloseta,2025-07-15,32.9,20.7,86,39,24.8,0
Llubí,2025-07-15,33.5,21.1,88,42,14,0
Llucmajor,2025-07-15,34.4,23.8,87,40,25.9,0
Manacor,2025-07-15,34.7,21.5,93,40,18.7,0
Mancor,2025-07-15,-,-,-,-,-,-
Maria,2025-07-15,-,-,-,-,-,-
Marratxí,2025-07-15,36,23.3,81,33,19.8,0
Montuïri,2025-07-15,32.8,19.8,99,49,19.5,0
Muro,2025-07-15,30.9,22.6,92,62,0,0
Palma,2025-07-15,34.8,25.2,78,37,15.1,0
Petra,2025-07-15,35.2,21.3,93,36,17.5,0
Pollença,2025-07-15,28.9,23.1,67,43,27.8,0
Porreres,2025-07-15,35.3,22.6,87,38,15.5,0
Sa Pobla,2025-07-15,34.6,22.6,83,40,12.9,0
Puigpunyent,2025-07-15,35.8,20.6,81,36,19.3,0
Ses   Salines,2025-07-15,33.1,23.5,90,43,29.6,0
Sant   Joan,2025-07-15,32.2,22.2,68,28,15.8,0
Sant   Llorenç,2025-07-15,34.9,22.5,89,42,11.7,0
Sencelles,2025-07-15,33.4,22.1,86,48,24.1,0
Santa   Eugènia,2025-07-15,38.8,19.7,94,34,16.1,0
Santa   Margalida,2025-07-15,31,23.2,89,53,20.2,0
Santa   Maria,2025-07-15,-,-,-,-,-,-
Santanyi,2025-07-15,32.6,23.2,94,38,13.7,0
Selva,2025-07-15,33.5,21.7,86,36,12.9,0
Sineu,2025-07-15,33.8,20.4,99,50,10.8,0
Sóller,2025-07-15,32.7,22.9,89,44,19.3,0
Son   Servera,2025-07-15,,,,,,
Valldemossa,2025-07-15,31.4,21.4,87,43,22.5,0
Villafranca,2025-07-15,,,,,0,0
