Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-09,33.8,22.1,69,30,0,0
Alcúdia,2025-08-09,30.6,21.3,89,58,12.2,0
Algaida,2025-08-09,33.4,21.7,86,16,19.8,0
Andratx,2025-08-09,34.4,23.6,80,42,11.9,0
Ariany,2025-08-09,-,-,-,-,-,-
Artà,2025-08-09,31.3,18.4,97,43,22.5,0
Banyalbufar,2025-08-09,30.1,22.5,91,63,10.8,0
Binissalem,2025-08-09,33.8,19.6,86,31,18,0
Búger,2025-08-09,33.2,19.7,88,39,19,0
Bunyola,2025-08-09,36.6,21.5,89,32,15.4,0
Calvià,2025-08-09,31.2,22.2,85,41,17.5,0
Campanet,2025-08-09,-,-,-,-,-,-
Campos,2025-08-09,36.5,22.2,90,36,40.7,0
Capdepera,2025-08-09,30.1,22.9,93,62,10.8,0
Consell,2025-08-09,-,-,-,-,-,-
Costitx,2025-08-09,35.4,20.2,95,24,11.1,0
Deià,2025-08-09,31.1,24.1,84,52,11.5,0
Escorca,2025-08-09,31,17.3,70,32,14.4,0
Esporles,2025-08-09,32,21.2,92,49,20.1,0
Estellencs,2025-08-09,-,-,-,-,-,-
Felanitx,2025-08-09,30.3,21.9,91,54,37,0
Fornalutx,2025-08-09,32.5,22.8,84,41,13.7,0
Inca,2025-08-09,35.4,23.3,85,31,16.3,0
Lloret,2025-08-09,32.7,20.5,92,25,5.8,0
Lloseta,2025-08-09,32.6,20.8,85,27,28.4,0
Llubí,2025-08-09,33.4,20.6,87,29,14,0
Llucmajor,2025-08-09,34.8,21.8,86,31,18.4,0
Manacor,2025-08-09,32.9,20.9,94,49,22.7,0
Mancor,2025-08-09,-,-,-,-,-,-
Maria,2025-08-09,-,-,-,-,-,-
Marratxí,2025-08-09,35.8,22.2,88,29,15.4,0
Montuïri,2025-08-09,33.5,18.4,97,31,18,0
Muro,2025-08-09,31,21.7,92,49,0,0
Palma,2025-08-09,34.1,23.8,85,48,12.6,0
Petra,2025-08-09,34.7,19.8,93,26,15,0
Pollença,2025-08-09,29.4,22.8,66,36,22.5,0
Porreres,2025-08-09,35.4,21,86,29,17.6,0
Sa Pobla,2025-08-09,33.8,22.3,85,46,11.7,0
Puigpunyent,2025-08-09,-,-,-,-,-,-
Ses   Salines,2025-08-09,30.3,21.9,93,62,37,0
Sant   Joan,2025-08-09,32.4,22,68,29,18.2,0
Sant   Llorenç,2025-08-09,36,21.3,93,33,7.1,0
Sencelles,2025-08-09,33.7,20.8,87,28,27.8,0
Santa   Eugènia,2025-08-09,39.2,18.5,91,23,10.3,0
Santa   Margalida,2025-08-09,30.9,21.9,85,45,20.5,0
Santa   Maria,2025-08-09,-,-,-,-,-,-
Santanyi,2025-08-09,30,22.4,97,70,10.5,0
Selva,2025-08-09,33,21.6,87,29,12.6,0
Sineu,2025-08-09,34.2,19.5,99,30,11.1,0
Sóller,2025-08-09,32.6,22.2,85,42,20.9,0
Son   Servera,2025-08-09,,,,,,
Valldemossa,2025-08-09,29.3,21.4,91,46,19.3,0
Villafranca,2025-08-09,,,,,0,0
